"","Country Name","Country code","Capital City","City code","2016","LocationX","LocationY","LocationZ"
"49","Côte d'Ivoire",384,"Yamoussoukro",21606,-0.292713755458612,0.98871508369714,-0.0913155038786249,0.118760102817196
"50","Croatia",191,"Zagreb",20865,-0.290776704657475,0.670058191700209,0.191857433723078,0.717086288294958
"51","Cuba",192,"La Habana (Havana)",20870,-0.286041126400601,0.121976746932833,-0.911562954419833,0.392650803306282
"52","Cyprus",196,"Lefkosia (Nicosia)",20880,-0.294494105055801,0.682791267577542,0.449652648760008,0.575854652132778
"53","Czech Republic",203,"Praha (Prague)",20887,-0.273688776767337,0.621394551463561,0.159787018589455,0.767031238022086
"54","Dem. People's Republic of Korea",408,"P'yongyang",21722,-0.29353502026766,-0.45387749612394,0.630375370553262,0.62977941432862
"55","Democratic Republic of the Congo",180,"Kinshasa",20853,-0.292505780971081,0.961745049180669,0.26334851661617,-0.0754587249596461
"56","Denmark",208,"København (Copenhagen)",20894,-0.259742767821164,0.550366916396041,0.122673975280495,0.825861582303956
"57","Djibouti",262,"Djibouti",21005,-0.29672183010624,0.714758289746486,0.66990520989245,0.200867112782634
"58","Dominica",212,"Roseau",20896,-0.296863531122283,0.461898119612448,-0.846761879672108,0.26390234222652
"59","Dominican Republic",214,"Santo Domingo",20898,-0.288309085062141,0.325892365138118,-0.890629680359993,0.31713236795783
"60","Ecuador",218,"Quito",20910,-0.285019885673558,0.19893959705775,-0.980003542625777,-0.00401162852566546
"61","Egypt",818,"Al-Qahirah (Cairo)",22812,-0.257239638010312,0.740165959902033,0.448956588745542,0.500591982780655
"62","El Salvador",222,"San Salvador",20917,-0.294081867415763,0.013782932048545,-0.971495359480169,0.236657552790193
"63","Equatorial Guinea",226,"Malabo",20920,-0.295589863270264,0.986156882261794,0.152371369537072,0.0654031292301431
"64","Estonia",233,"Tallinn",20932,-0.29407327699954,0.461765034892681,0.212911093508182,0.861070217120364
"65","Ethiopia",231,"Addis Ababa",20921,-0.288230652137352,0.770263122017873,0.618132775454829,0.156864893356634
"66","Fiji",242,"Suva",20936,-0.29637532007693,-0.949938319200028,0.0258457713477979,-0.31136664211001
