source,target,weights,sourceID,targetID,,
United States,Finland,43.75,110,33,,1
United States,Poland,55,110,80,,1
United States,UAE,3.1,110,106,,1
Russia,India,440,84,42,,1
France,Qatar,10,34,82,,1
France,Qatar,16,34,82,,1
China,Pakistan,1.5,22,75,,1
China,Pakistan,1.5,22,75,,1
Turkey,Burkina Faso,4.5,105,17,,1
Israel,Azerbaijan,3,47,8,,1
United Kingdom,South Korea,12,109,93,,1
Russia,Myanmar,60,84,67,,1
China,Laos,11.4,22,55,,1
China,Laos,2.1,22,55,,1
Ukraine,Qatar,20,108,82,,1
South Korea,Poland,8.56,93,80,,1
Germany,Poland,1.44,36,80,,1
Germany,United Kingdom,0.78,36,109,,1
France,China,16,34,22,,1
Russia,China,17.5,84,22,,1
China,Tajikistan,1.4,22,101,,1
Russia,Iraq,10,84,45,,1
Switzerland,China,25,98,22,,1
Switzerland,China,7.5,98,22,,1
Czechia,Azerbaijan,5.1,26,8,,1
France,Qatar,0.9,34,82,,1
United States,Saudi Arabia,35,110,86,,1
United States,Jordan,1,110,51,,1
United States,Bahrain,4.42,110,9,,1
Turkey,Azerbaijan,5.5,105,8,,1
United States,Saudi Arabia,24.82,110,86,,1
France,China,16.25,34,22,,1
France,China,9.5,34,22,,1
Germany,Israel,18,36,47,,1
Italy,Libya GNC,9.108,48,59,,1
Switzerland,Argentina,5,98,5,,1
United Kingdom,China,20,109,22,,1
China,Laos,30,22,55,,1
Russia,Iraq,154,84,45,,1
United States,Afghanistan,62.832,110,0,,1
United States,Thailand,2.5,110,103,,1
United States,Taiwan,10,110,100,,1
France,Tanzania,0.9,34,102,,1
Russia,Cote d'Ivoire,0.08,84,24,,1
Belarus,Cote d'Ivoire,0.396,11,24,,1
Sweden,United States,20,97,110,,1
Germany,China,3,36,22,,1
United Kingdom,Japan,12.5,109,50,,1
United States,Guatemala,0.28,110,38,,1
United States,Croatia,2,110,25,,1
United States,Honduras,0.9,110,40,,1
Germany,Netherlands,59.4,36,70,,1
Germany,Turkey,4,36,105,,1
Italy,Turkey,2.75,48,105,,1
Netherlands,Turkey,12.5,70,105,,1
United States,Turkey,7,110,105,,1
United States,Latvia,11,110,56,,1
Russia,Pakistan,46,84,75,,1
United Kingdom,Bahrain,28,109,9,,1
United States,Italy,40,110,48,,1
Canada,Saudi Arabia,4,19,86,,1
Czechia,Hungary,0.34,26,41,,1
United States,Italy,60,110,48,,1
United States,Thailand,8.8,110,103,,1
France,Argentina,20,34,5,,1
United Kingdom,Germany,10,109,36,,1
United States,Israel,26,110,47,,1
Russia,China,260,84,22,,1
United States,Greece,55.2,110,37,,1
Israel,Germany,1.5,47,36,,1
United States,Australia,20,110,6,,1
United States,Spain,3.6,110,94,,1
United Kingdom,Brazil,136,109,15,,1
United States,Italy,2.5,110,48,,1
United States,Cameroon,1.8,110,18,,1
United States,Afghanistan,0.8,110,0,,1
United States,Canada,7.5,110,19,,1
United States,Brazil,4.8,110,15,,1
South Korea,Malaysia,37,93,62,,1
Denmark,Malaysia,3,27,62,,1
France,Sri Lanka,8,34,95,,1
United States,Mexico,0.9,110,64,,1
United States,Albania,0.84,110,2,,1
Italy,Norway,14,48,73,,1
United States,Australia,440,110,6,,1
Russia,Viet Nam,175,84,115,,1
